id,created_at,posted_by,text,title,topic,topic_score,subtopic_1,subtopic_1_score,subtopic_2,subtopic_2_score,post_id,average_sentiment
5106074204768860,2024-11-29 15:46:59+08:00,美国驻华大使馆,"#祖辈的旗帜# 帮助建造史迪威公路的老威利·詹姆斯·伍德拉夫

老威利·詹姆斯·伍德拉夫（Willie James Woodruff Senior）是
刚刚离任的美国驻上海副总领事戴德年（Daniel Delk）的外祖父。

戴德年的外祖父当时是美军后勤部队的一员，负责修筑史迪威公路（中印公路）。史迪威公路是美国陆军在二战期间完成的最艰巨的任务之一。

尽管不是一线作战部队，但戴德年的外祖父的处境依然非常危险。他们当时为了不被敌人发现，必须在夜间不开灯的情况下，开坦克和后勤补给车辆。有一天，他们前面的卡车掉进了悬崖，上面所有的战友都牺牲了。还有一次，他的外祖父在巡逻时，战友踩上了地雷，就在他眼皮底下阵亡了。戴德年的外祖父一直感叹自己运气好，活了下来。

观看视频了解更多老威利·詹姆斯·伍德拉夫的故事吧~ http://t.cn/A6m5kz9N",#祖辈的旗帜# 帮助建造史迪威公路的老威利·詹姆斯·伍德拉...,综合,0.5,陆军,0.858866,,,5106074204768860.0,1.0
5103510390048202,2024-11-22 13:59:18+08:00,美国驻华大使馆,"#祖辈的旗帜# 40岁从军的驼峰航线尾炮手乔治·厄普汉姆·贝利斯

乔治·厄普汉姆·贝利斯（George Upham Baylies）是伯恩斯大使的夫人白丹洛（Libby Baylies）的叔祖父，也是大使夫人爷爷的双胞胎兄弟。

白丹洛家族有为国从军效力的传统。二战期间，她的家族有三人从军。他们分别是在欧洲战场的白丹洛的爷爷沃尔特·贝利斯；在非洲战场的叔祖父埃德蒙·贝利斯；以及在中缅印战区的乔治·厄普汉姆·贝利斯。二战开始时，贝利斯兄弟们都已经40多了，然而他们依然自告奋勇报名从军。因为年龄太大，他们还得专门向政府请愿，才能获准参军。

乔治·贝利斯被分到了美国陆军航空兵团。1943年7月到1945年1月，他在中缅印战区的驼峰航线上执行飞行任务，担任 B-25 轰炸机尾炮手。

后来回忆起那段日子时，乔治·贝利斯说那是他这辈子最了不起的冒险。
http://t.cn/A6mhjNvb",#祖辈的旗帜# 40岁从军的驼峰航线尾炮手乔治·厄普汉姆·贝...,综合,0.5,陆军,0.857091,,,5103510390048202.0,0.8
5106132867875637,2024-11-29 19:40:06+08:00,美国驻华大使馆,"发布了头条文章：《感恩节前后一周精彩纷呈》 在#感恩节#（Thanksgiving Day），美国人通过与家人和亲朋好友一起享用家庭盛宴来表达对生活中种种恩赐的感激之情。他们在大餐前后通常会花时间享受户外活动或观看电视转播的游行和美式足球比赛。感恩节也标志着假日季节的开始。对于许多美国人来说，感恩节前后有多种传统，从选购礼物到在当地社区做志愿者。让我们来看看感恩节前后整整一周的盛况，这一周充满了家庭时光、采买消费以及对他人的慷慨之举。http://t.cn/A6mtGbdw
http://t.cn/A6mtGdHD",感恩节前后一周精彩纷呈,国际,0.740605,,,,,5106132867875637.0,1.0
5106116623338428,2024-11-29 18:35:33+08:00,美国驻华大使馆,"#拜登总统#关于俄罗斯袭击乌克兰的声明

2024年11月28日

从昨晚至今晨，俄罗斯对乌克兰发动了骇人的空袭。据乌克兰当局称，俄罗斯向乌克兰境内的城市和能源基础设施发射了近200枚/架导弹和无人机，导致乌克兰平民无电可用。此次令人发指的空袭再次表明支持乌克兰人民抵御俄罗斯入侵的迫切性和重要性。

在这一天，我要明确地告诉乌克兰人民：美国与你们站在一起。今年早些时候，在我的指示下，美国开始优先对乌克兰进行防空出口。也是由于这一决定，国防部已另向乌克兰交付了数以百计的防空导弹，并正在继续交付更多。几个月来，我的政府一直在致力于帮助乌克兰提高其能源网的韧性来为冬季做准备，国防部则继续在其他关键能力方面对乌克兰进行大规模增援，包括火炮、火箭和装甲车。

俄罗斯仍在低估乌克兰人民的勇气、韧性和决心。美国和五十多个国家一道支持乌克兰，支持其为自由而战。

http://t.cn/A6mtUz5r",#拜登总统#关于俄罗斯袭击乌克兰的声明,军事,0.680617,,,,,5106116623338428.0,-0.1
5106102800746367,2024-11-29 17:40:37+08:00,美国驻华大使馆,"今天是美国前国务卿亨利·基辛格博士逝世一周年纪念日。美国东部时间2023年11月29日，基辛格博士去世，享年100岁。基辛格博士在半个世纪前美中关系重启时担任了关键性的角色，并对美国外交作出了历史性贡献。

#伯恩斯大使#在推特上说，本周是亨利·A·基辛格国务卿逝世一周年，他对美中关系做出了历史性的贡献。我们有幸在他逝世前三个月于大使馆向他致敬。",今天是美国前国务卿亨利·基辛格博士逝世一周年纪念日,国际,0.845972,,,,,5106102800746367.0,1.0
5106087676611446,2024-11-29 16:40:31+08:00,美国驻华大使馆,"#布林肯国务卿#在推特上说，“马克·斯威丹（Mark Swidan）、李凯（Kai Li）和梁成运（John Leung）启程返回美国，正好能赶上感恩节。在他们返家的途中，我与他们通了话。我告诉他们，看到他们健康状况良好，很快就要与至爱亲朋团聚，我有多高兴。”

#伯恩斯大使#在推特上说，“在这个最具美国精神的节日，在美国驻华使团的我们心怀感恩，因为马克·斯威丹、李凯以及梁成运终于重获自由，回到在美国的家，跟亲人团聚了。”",#布林肯国务卿#在推特上说，“马克·斯威丹（Mark Swidan）、...,社会,0.79536,,,,,5106087676611446.0,1.0
5106066213310161,2024-11-29 15:15:14+08:00,美国驻华大使馆,"本周，#伯恩斯大使#前往江西南昌，这也是他首次访问江西。在南昌，他会见了江西省委书记尹弘。之后，他前往武汉，参观了新启用的武汉美国中心，并与 @美国驻武汉总领事馆 员工进行了会面。以下来自伯恩斯大使在X/推特上的更新。

图1：首访江西省，到达南昌

图2：很高兴和在南昌和江西省委书记尹弘会面，并且为近期费城交响乐团在本地演出时获得诸多支持向他致谢。@费城交响乐团

图3：我来到武汉向我们杰出的外交人员团队致谢。在柯儒思总领事的带领下，他们在此向美国公民和企业提供支持，并且在华中地区和湖北、湖南、江西，以及河南等省的人民互动。

图4-8：我造访了新启用并且令人眼前一亮的武汉美国中心，这里展示着在华中地区的中国人民与美国人建立连结的历史事迹。 历久弥坚。

图9-12：从这个历史可以追溯至清朝的车站离开武汉，结束第七次访问华中的行程。流连忘返。",本周，#伯恩斯大使#前往江西南昌，这也是他首次访问江西,国际,0.696683,,,,,5106066213310161.0,1.0
5105640101384331,2024-11-28 11:02:01+08:00,美国驻华大使馆,"发布了头条文章：《感恩节的喜悦与压力》 在美国，每年十一月的第四个星期四是#感恩节#（Thanksgiving Day）。美国感恩节的传统可以追溯到几百年前的早期殖民地时期，成为法定的全国性节日起始于1941年美国国会通过的一项法案。感恩节前后是美国一年中最繁忙的旅行时间，有人打趣称之为美国的春运，因为感恩节是家庭团聚的日子，很多人通常都会趁着假期回家与家人团聚，使得交通流量大幅增加，无论是机场还是公路上都可能会非常拥挤。今年的感恩节在11月28日，和往年一样，人们会和家人朋友一起吃传统美食、分享成长故事，享受彼此陪伴的温暖。http://t.cn/A6mGtMDD
http://t.cn/A6mGV1S6",感恩节的喜悦与压力,历史,0.850909,,,,,5105640101384331.0,0.7222222222222222
5105435880720985,2024-11-27 21:30:31+08:00,美国驻华大使馆,"#英语学习#如何用英语表达感谢？

#感恩节#是在每年11月的第四个星期四。在这个节日里，美国人对许多事情表示感谢，包括他们的家人和朋友。美国家庭的主要感恩节活动是一顿丰盛的大餐，通常包括火鸡、肉汁、土豆泥、红薯、玉米、蔓越莓、面包、青豆、炖菜和南瓜派。除了享受美食，许多家庭和朋友会讨论他们此刻想要感谢的事情。这里有一些用英语表达感谢的方式。你对什么心存感激?#AmericanEnglish#",#英语学习#如何用英语表达感谢？,教育,0.852394,英语,0.940707,,,5105435880720985.0,0.5
5105399486747212,2024-11-27 19:05:54+08:00,美国驻华大使馆,白宫开启圣诞季！白宫官方圣诞树已抵达！是时候装点大厅了。从北卡罗来纳州的蓝岭山脉到华盛顿特区，今年的白宫官方圣诞树象征着在飓风海伦之后恢复和重建的人们的巨大力量。 http://t.cn/A6mbUu7O ​​​,白宫开启圣诞季！白宫官方圣诞树已抵达！是时候装点大厅...,国际,0.846031,,,,,5105399486747212.0,0.5
